Region,Month,For-Sale Property Type,Average Monthly Rent,Average Rent YoY,"Monthly mortgage, 5% down","Monthly mortgage, 5% down YoY","Monthly mortgage, 20% down","Monthly mortgage, 20% down YoY",Median sale price,Median sale price YoY
"Portland, OR",Jun-22,Condo/Co-op,"$2,632 ",24.40%,"$1,919 ",49.20%,"$1,616 ",49.20%,"$355,000 ",10.20%
"Portland, OR",Jun-22,Multi-Family (2-4 Unit),"$2,632 ",24.40%,"$3,271 ",51.60%,"$2,754 ",51.60%,"$605,000 ",12.00%
"Portland, OR",Jun-22,Single Family Residential,"$2,632 ",24.40%,"$3,238 ",48.50%,"$2,727 ",48.50%,"$599,000 ",9.70%
"Portland, OR",Jun-22,Townhouse,"$2,632 ",24.40%,"$2,368 ",48.20%,"$1,994 ",48.20%,"$438,000 ",9.50%
"Providence, RI",Jun-22,All Residential,"$2,387 ",5.70%,"$2,298 ",53.40%,"$1,935 ",53.40%,"$425,000 ",13.30%
"Providence, RI",Jun-22,Condo/Co-op,"$2,387 ",5.70%,"$1,683 ",45.20%,"$1,417 ",45.20%,"$311,250 ",7.30%
"Providence, RI",Jun-22,Multi-Family (2-4 Unit),"$2,387 ",5.70%,"$2,379 ",62.30%,"$2,003 ",62.30%,"$440,000 ",20.00%
"Providence, RI",Jun-22,Single Family Residential,"$2,387 ",5.70%,"$2,398 ",49.70%,"$2,019 ",49.70%,"$443,500 ",10.60%
"Providence, RI",Jun-22,Townhouse,"$2,387 ",5.70%,"$1,987 ",59.10%,"$1,673 ",59.10%,"$367,500 ",17.60%
"Riverside, CA",Jun-22,All Residential,"$2,720 ",9.80%,"$3,081 ",53.00%,"$2,595 ",53.00%,"$570,000 ",13.10%
"Riverside, CA",Jun-22,Condo/Co-op,"$2,720 ",9.80%,"$2,441 ",61.20%,"$2,055 ",61.20%,"$451,500 ",19.10%
"Riverside, CA",Jun-22,Multi-Family (2-4 Unit),"$2,720 ",9.80%,"$3,108 ",62.10%,"$2,618 ",62.10%,"$575,000 ",19.80%
"Riverside, CA",Jun-22,Single Family Residential,"$2,720 ",9.80%,"$3,141 ",49.80%,"$2,645 ",49.80%,"$581,000 ",10.70%
"Riverside, CA",Jun-22,Townhouse,"$2,720 ",9.80%,"$2,838 ",59.60%,"$2,390 ",59.60%,"$525,000 ",18.00%
"Sacramento, CA",Jun-22,All Residential,"$2,771 ",17.80%,"$3,244 ",43.70%,"$2,731 ",43.70%,"$600,000 ",6.20%
"Sacramento, CA",Jun-22,Condo/Co-op,"$2,771 ",17.80%,"$1,824 ",34.10%,"$1,536 ",34.10%,"$337,500 ",-0.90%
"Sacramento, CA",Jun-22,Multi-Family (2-4 Unit),"$2,771 ",17.80%,"$3,784 ",51.60%,"$3,187 ",51.60%,"$700,000 ",12.00%
"Sacramento, CA",Jun-22,Single Family Residential,"$2,771 ",17.80%,"$3,319 ",43.20%,"$2,795 ",43.20%,"$614,000 ",5.90%
"Sacramento, CA",Jun-22,Townhouse,"$2,771 ",17.80%,"$2,108 ",48.70%,"$1,775 ",48.70%,"$390,000 ",9.90%
"San Antonio, TX",Jun-22,All Residential,"$1,501 ",23.40%,"$1,866 ",61.70%,"$1,572 ",61.70%,"$345,250 ",19.50%
"San Antonio, TX",Jun-22,Condo/Co-op,"$1,501 ",23.40%,"$1,027 ",60.70%,$865 ,60.70%,"$190,000 ",18.80%
"San Antonio, TX",Jun-22,Multi-Family (2-4 Unit),"$1,501 ",23.40%,"$1,892 ",28.00%,"$1,593 ",28.00%,"$350,000 ",-5.40%
"San Antonio, TX",Jun-22,Single Family Residential,"$1,501 ",23.40%,"$1,892 ",63.30%,"$1,593 ",63.30%,"$350,000 ",20.70%
"San Antonio, TX",Jun-22,Townhouse,"$1,501 ",23.40%,"$1,514 ",76.20%,"$1,275 ",76.20%,"$280,000 ",30.20%
"San Diego, CA",Jun-22,All Residential,"$3,439 ",17.90%,"$4,649 ",51.10%,"$3,915 ",51.10%,"$860,000 ",11.70%
"San Diego, CA",Jun-22,Condo/Co-op,"$3,439 ",17.90%,"$3,271 ",55.90%,"$2,754 ",55.90%,"$605,000 ",15.20%
"San Diego, CA",Jun-22,Multi-Family (2-4 Unit),"$3,439 ",17.90%,"$6,555 ",70.30%,"$5,520 ",70.30%,"$1,212,500 ",25.90%
"San Diego, CA",Jun-22,Single Family Residential,"$3,439 ",17.90%,"$5,271 ",51.60%,"$4,439 ",51.60%,"$975,000 ",12.10%
"San Diego, CA",Jun-22,Townhouse,"$3,439 ",17.90%,"$3,811 ",49.90%,"$3,209 ",49.90%,"$705,000 ",10.80%
"San Francisco, CA",Jun-22,All Residential,"$3,812 ",13.90%,"$8,547 ",34.60%,"$7,197 ",34.60%,"$1,581,000 ",-0.50%
"San Francisco, CA",Jun-22,Condo/Co-op,"$3,812 ",13.90%,"$6,038 ",37.40%,"$5,085 ",37.40%,"$1,117,000 ",1.50%
"San Francisco, CA",Jun-22,Multi-Family (2-4 Unit),"$3,812 ",13.90%,"$11,352 ",50.40%,"$9,560 ",50.40%,"$2,100,000 ",11.10%
"San Francisco, CA",Jun-22,Single Family Residential,"$3,812 ",13.90%,"$10,393 ",30.10%,"$8,752 ",30.10%,"$1,922,500 ",-3.90%
"San Francisco, CA",Jun-22,Townhouse,"$3,812 ",13.90%,"$7,656 ",34.00%,"$6,447 ",34.00%,"$1,416,195 ",-1.00%
"San Jose, CA",Jun-22,All Residential,"$3,663 ",15.20%,"$8,109 ",45.00%,"$6,829 ",45.00%,"$1,500,000 ",7.10%
"San Jose, CA",Jun-22,Condo/Co-op,"$3,663 ",15.20%,"$4,195 ",40.10%,"$3,533 ",40.10%,"$776,000 ",3.50%
"San Jose, CA",Jun-22,Multi-Family (2-4 Unit),"$3,663 ",15.20%,"$10,136 ",71.10%,"$8,536 ",71.10%,"$1,875,000 ",26.50%
"San Jose, CA",Jun-22,Single Family Residential,"$3,663 ",15.20%,"$9,460 ",41.50%,"$7,967 ",41.50%,"$1,750,000 ",4.60%
"San Jose, CA",Jun-22,Townhouse,"$3,663 ",15.20%,"$6,487 ",41.20%,"$5,463 ",41.20%,"$1,200,000 ",4.30%
"Seattle, WA",Jun-22,All Residential,"$3,293 ",32.50%,"$4,412 ",49.20%,"$3,715 ",49.20%,"$816,077 ",10.30%
"Seattle, WA",Jun-22,Condo/Co-op,"$3,293 ",32.50%,"$2,487 ",42.00%,"$2,094 ",42.00%,"$460,000 ",4.90%
"Seattle, WA",Jun-22,Multi-Family (2-4 Unit),"$3,293 ",32.50%,"$4,946 ",50.80%,"$4,165 ",50.80%,"$915,000 ",11.40%
"Seattle, WA",Jun-22,Single Family Residential,"$3,293 ",32.50%,"$4,865 ",47.40%,"$4,097 ",47.40%,"$900,000 ",9.00%
"Seattle, WA",Jun-22,Townhouse,"$3,293 ",32.50%,"$4,111 ",52.50%,"$3,462 ",52.50%,"$760,500 ",12.70%
"St. Louis, MO",Jun-22,All Residential,"$1,553 ",5.50%,"$1,433 ",52.30%,"$1,206 ",52.30%,"$265,000 ",12.50%
"St. Louis, MO",Jun-22,Condo/Co-op,"$1,553 ",5.50%,"$1,070 ",84.80%,$901 ,84.80%,"$198,000 ",36.60%
"St. Louis, MO",Jun-22,Multi-Family (2-4 Unit),"$1,553 ",5.50%,"$1,000 ",37.50%,$842 ,37.50%,"$185,000 ",1.60%
"St. Louis, MO",Jun-22,Single Family Residential,"$1,553 ",5.50%,"$1,487 ",55.70%,"$1,252 ",55.70%,"$275,000 ",15.10%
"St. Louis, MO",Jun-22,Townhouse,"$1,553 ",,$914 ,,$769 ,,"$169,000 ",
"Tampa, FL",Jun-22,All Residential,"$2,203 ",18.50%,"$2,114 ",70.70%,"$1,780 ",70.70%,"$391,000 ",26.10%
"Tampa, FL",Jun-22,Condo/Co-op,"$2,203 ",18.50%,"$1,346 ",72.80%,"$1,134 ",72.80%,"$249,000 ",27.70%
"Tampa, FL",Jun-22,Multi-Family (2-4 Unit),"$2,203 ",18.50%,"$2,273 ",51.70%,"$1,914 ",51.70%,"$420,500 ",12.10%
"Tampa, FL",Jun-22,Single Family Residential,"$2,203 ",18.50%,"$2,216 ",69.70%,"$1,866 ",69.70%,"$410,000 ",25.40%
"Tampa, FL",Jun-22,Townhouse,"$2,203 ",18.50%,"$1,814 ",76.70%,"$1,527 ",76.70%,"$335,500 ",30.50%
"Virginia Beach, VA",Jun-22,All Residential,"$1,696 ",11.50%,"$1,757 ",48.60%,"$1,480 ",48.60%,"$325,000 ",9.80%
"Virginia Beach, VA",Jun-22,Condo/Co-op,"$1,696 ",11.50%,"$1,297 ",41.20%,"$1,093 ",41.20%,"$240,000 ",4.30%
"Virginia Beach, VA",Jun-22,Multi-Family (2-4 Unit),"$1,696 ",11.50%,"$1,379 ",53.40%,"$1,161 ",53.40%,"$255,000 ",13.30%
"Virginia Beach, VA",Jun-22,Single Family Residential,"$1,696 ",11.50%,"$1,903 ",46.60%,"$1,602 ",46.60%,"$352,000 ",8.30%
"Virginia Beach, VA",Jun-22,Townhouse,"$1,696 ",11.50%,"$1,406 ",56.40%,"$1,184 ",56.40%,"$260,000 ",15.60%
"Warren, MI",Jun-22,All Residential,"$1,658 ",12.50%,"$1,649 ",47.90%,"$1,388 ",47.90%,"$305,000 ",9.30%
"Warren, MI",Jun-22,Condo/Co-op,"$1,658 ",12.50%,"$1,243 ",55.40%,"$1,047 ",55.40%,"$230,000 ",14.90%
"Warren, MI",Jun-22,Multi-Family (2-4 Unit),"$1,658 ",12.50%,"$1,797 ",169.10%,"$1,514 ",169.10%,"$332,500 ",98.90%
"Warren, MI",Jun-22,Single Family Residential,"$1,658 ",12.50%,"$1,757 ",44.20%,"$1,480 ",44.20%,"$325,000 ",6.60%
"Washington, DC",Jun-22,All Residential,"$2,741 ",11.30%,"$2,973 ",43.10%,"$2,504 ",43.10%,"$550,000 ",5.80%
"Washington, DC",Jun-22,Condo/Co-op,"$2,741 ",11.30%,"$1,907 ",30.80%,"$1,606 ",30.80%,"$352,750 ",-3.40%
"Washington, DC",Jun-22,Multi-Family (2-4 Unit),"$2,741 ",11.30%,"$6,487 ",86.10%,"$5,463 ",86.10%,"$1,200,000 ",37.50%
"Washington, DC",Jun-22,Single Family Residential,"$2,741 ",11.30%,"$3,513 ",45.50%,"$2,959 ",45.50%,"$649,900 ",7.60%
"Washington, DC",Jun-22,Townhouse,"$2,741 ",11.30%,"$2,838 ",49.60%,"$2,390 ",49.60%,"$525,000 ",10.50%
"West Palm Beach, FL",Jun-22,All Residential,"$3,111 ",22.90%,"$2,514 ",67.80%,"$2,117 ",67.80%,"$465,000 ",24.00%
"West Palm Beach, FL",Jun-22,Condo/Co-op,"$3,111 ",22.90%,"$1,460 ",76.30%,"$1,229 ",76.30%,"$270,000 ",30.30%
"West Palm Beach, FL",Jun-22,Multi-Family (2-4 Unit),"$3,111 ",22.90%,"$2,433 ",68.90%,"$2,049 ",68.90%,"$450,000 ",24.80%
"West Palm Beach, FL",Jun-22,Single Family Residential,"$3,111 ",22.90%,"$3,622 ",72.70%,"$3,050 ",72.70%,"$670,000 ",27.60%
"West Palm Beach, FL",Jun-22,Townhouse,"$3,111 ",22.90%,"$2,000 ",82.10%,"$1,684 ",82.10%,"$370,000 ",34.50%
